FIRSTNAME,"MIDDLE NAME","LAST NAME",ID,BIRTHDAY,ADDRESS,SIGNATURE,"DATE ISSUE",SEX,STATUS,BIRTHPLACE,EMERGENCY,OCCUPATION,ELIGIBILITY,IDNO,QRCODE
RAFAEL,,DOMINGO,R-202503-0115,"JUL. 20, 1971","HOUSE #948 STREET 49, BAGNOS, ALICIA, ISABELA, 6214",NO,,FEMALE,MARRIED,,,FARMER,,,QR-R-B69C7A8457
ROSA,DOMINGO,ROMERO,R-202503-0116,"APR. 5, 1983","HOUSE #948 STREET 49, BAGNOS, ALICIA, ISABELA, 6214",NO,,FEMALE,SINGLE,,,VENDOR,PWD,,QR-R-A045DDD5AF
ROSA,NAVARRO,ROBLES,R-202503-0117,"FEB. 2, 1988","HOUSE #583 STREET 27, BAGONG SIKAT, ALICIA, ISABELA, 7381",NO,,MALE,SINGLE,,,DRIVER,,,QR-R-AD11B9B1FC
LUIS,"DE LA CRUZ",ESPIRITU,R-202503-0118,"DEC. 24, 1947","HOUSE #583 STREET 27, BAGONG SIKAT, ALICIA, ISABELA, 7381",NO,,FEMALE,MARRIED,,,VENDOR,"SENIOR CITIZEN, PWD",,QR-R-3FB8B0D0F0
SOFIA,CRUZ,DOMINGO,R-202503-0119,"JUN. 18, 2011","HOUSE #583 STREET 27, BAGONG SIKAT, ALICIA, ISABELA, 7381",NO,,MALE,SINGLE,,,STUDENT,PWD,,QR-R-3B669963CE
CARLOS,,SALAZAR,R-202503-0120,"MAY. 13, 1984","HOUSE #280 STREET 1, M.H. DEL PILAR, ALICIA, ISABELA, 1252",NO,,FEMALE,SINGLE,,,LABORER,,,QR-R-0E6CDB8A11
LUISA,CASTRO,PASCUAL,R-202503-0121,"MAR. 24, 1974","HOUSE #280 STREET 1, M.H. DEL PILAR, ALICIA, ISABELA, 1252",NO,,FEMALE,MARRIED,,,BUSINESS_OWNER,PWD,AC0DCABB3E9E,QR-R-80ED4ED9FA
ANTONIO,,LOPEZ,R-202503-0122,"MAR. 1, 1958","HOUSE #280 STREET 1, M.H. DEL PILAR, ALICIA, ISABELA, 1252",NO,,FEMALE,WIDOWED,,,RETIRED,"SENIOR CITIZEN, PWD",,QR-R-F54CEE530E
ELENA,NAVARRO,GUTIERREZ,R-202503-0123,"FEB. 19, 2019","HOUSE #280 STREET 1, M.H. DEL PILAR, ALICIA, ISABELA, 1252",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-683CCC0765
ROSA,RAMOS,GARCIA,R-202503-0124,"AUG. 22, 2010","HOUSE #280 STREET 1, M.H. DEL PILAR, ALICIA, ISABELA, 1252",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-BD6524A17C
ROSA,RIVERA,LOPEZ,R-202503-0125,"SEP. 2, 1991","HOUSE #773 STREET 10, SALVACION, ALICIA, ISABELA, 6667",NO,,MALE,SINGLE,,,VENDOR,,,QR-R-2C43E66980
ANTONIO,,NAVARRO,R-202503-0126,"JUN. 2, 1958","HOUSE #773 STREET 10, SALVACION, ALICIA, ISABELA, 6667",NO,,FEMALE,SEPARATED,,,RETIRED,"SENIOR CITIZEN",,QR-R-F10783C4CD
CARMEN,CRUZ,HERNANDEZ,R-202503-0127,"MAR. 21, 2011","HOUSE #773 STREET 10, SALVACION, ALICIA, ISABELA, 6667",NO,,MALE,SINGLE,,,STUDENT,PWD,529B95FDD39F,QR-R-5CA4AF8F53
ANA,GONZALES,BAUTISTA,R-202503-0128,"OCT. 8, 2003","HOUSE #773 STREET 10, SALVACION, ALICIA, ISABELA, 6667",NO,,FEMALE,SINGLE,,,LABORER,,53B78E35BF96,QR-R-B34A2A6C98
PEDRO,,SALAZAR,R-202503-0129,"JUN. 4, 1954","HOUSE #773 STREET 10, SALVACION, ALICIA, ISABELA, 6667",NO,,MALE,MARRIED,,,FARMER,"SENIOR CITIZEN, PWD",1B7756347ED9,QR-R-A0F5624CD8
MARIA,PEREZ,ROBLES,R-202503-0130,"JUL. 30, 1984","HOUSE #773 STREET 10, SALVACION, ALICIA, ISABELA, 6667",NO,,FEMALE,MARRIED,,,LABORER,,50540CC8FD6A,QR-R-302E133F45
ANTONIO,RIVERA,RIVERA,R-202503-0131,"MAY. 24, 1956","HOUSE #31 STREET 25, SANTO TOMAS, ALICIA, ISABELA, 9435",NO,,MALE,WIDOWED,,,RETIRED,"SENIOR CITIZEN",,QR-R-B01FA76E57
ELENA,GONZALES,ROMERO,R-202503-0132,"NOV. 29, 1981","HOUSE #31 STREET 25, SANTO TOMAS, ALICIA, ISABELA, 9435",NO,,MALE,SEPARATED,,,FARMER,,5FCBB89FE0DA,QR-R-9409C5BBBA
MIGUEL,,VALDEZ,R-202503-0133,"MAR. 10, 2002","HOUSE #31 STREET 25, SANTO TOMAS, ALICIA, ISABELA, 9435",NO,,MALE,SINGLE,,,FACTORY_WORKER,,,QR-R-097574AC24
JOSEFINA,TORRES,SANTIAGO,R-202503-0134,"NOV. 24, 1970","HOUSE #302 STREET 45, SAN FERNANDO, ALICIA, ISABELA, 2130",NO,,MALE,SEPARATED,,,PRIVATE_EMPLOYEE,PWD,E721A7219D7A,QR-R-F1E0CB8CC9
SOFIA,,CRUZ,R-202503-0135,"MAR. 30, 1999","HOUSE #302 STREET 45, SAN FERNANDO, ALICIA, ISABELA, 2130",NO,,MALE,MARRIED,,,DRIVER,,,QR-R-5C19FC246D
LOURDES,DIAZ,VILLEGAS,R-202503-0136,"JUN. 7, 1973","HOUSE #302 STREET 45, SAN FERNANDO, ALICIA, ISABELA, 2130",NO,,FEMALE,MARRIED,,,BUSINESS_OWNER,,,QR-R-8E0EB55C78
TERESA,CRUZ,PEREZ,R-202503-0137,"OCT. 16, 2009","HOUSE #186 STREET 24, SAN FRANCISCO, ALICIA, ISABELA, 6999",NO,,MALE,SINGLE,,,STUDENT,,01EFA0BB2DF0,QR-R-6E13C72F02
TERESA,,CRUZ,R-202503-0138,"MAY. 3, 2011","HOUSE #186 STREET 24, SAN FRANCISCO, ALICIA, ISABELA, 6999",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-C7F37B7D94
RAFAEL,,MARTINEZ,R-202503-0139,"JAN. 18, 1988","HOUSE #186 STREET 24, SAN FRANCISCO, ALICIA, ISABELA, 6999",NO,,MALE,SINGLE,,,FARMER,PWD,,QR-R-2334399B09
PEDRO,LOPEZ,MENDOZA,R-202503-0140,"FEB. 7, 1935","HOUSE #186 STREET 24, SAN FRANCISCO, ALICIA, ISABELA, 6999",NO,,FEMALE,WIDOWED,,,VENDOR,"SENIOR CITIZEN",,QR-R-F07DD342E9
JUAN,,MORALES,R-202503-0141,"MAY. 5, 1974","HOUSE #186 STREET 24, SAN FRANCISCO, ALICIA, ISABELA, 6999",NO,,MALE,SINGLE,,,FACTORY_WORKER,,,QR-R-F5E9726023
JUAN,GONZALES,TORRES,R-202503-0142,"AUG. 25, 1980","HOUSE #251 STREET 9, MATAAS NA KAHOY, ALICIA, ISABELA, 6439",NO,,MALE,SINGLE,,,FARMER,,023110306B07,QR-R-14E2A892B6
PEDRO,PEREZ,ROMERO,R-202503-0143,"AUG. 12, 2008","HOUSE #251 STREET 9, MATAAS NA KAHOY, ALICIA, ISABELA, 6439",NO,,FEMALE,SINGLE,,,STUDENT,,57676E1C79DC,QR-R-92BA98623D
TERESA,SALAZAR,HERNANDEZ,R-202503-0144,"JUL. 1, 1976","HOUSE #251 STREET 9, MATAAS NA KAHOY, ALICIA, ISABELA, 6439",NO,,MALE,MARRIED,,,FACTORY_WORKER,,,QR-R-0834092D8D
RAFAEL,CASTRO,VILLEGAS,R-202503-0145,"DEC. 12, 1974","HOUSE #228 STREET 10, LINGLINGAY, ALICIA, ISABELA, 8995",NO,,FEMALE,SINGLE,,,GOVERNMENT_EMPLOYEE,,,QR-R-BC13B4A1D2
CARMEN,SANTOS,HERNANDEZ,R-202503-0146,"DEC. 13, 1973","HOUSE #228 STREET 10, LINGLINGAY, ALICIA, ISABELA, 8995",NO,,FEMALE,MARRIED,,,PRIVATE_EMPLOYEE,,,QR-R-69B25CBC8C
PEDRO,,MIRANDA,R-202503-0147,"JUN. 26, 1942","HOUSE #456 STREET 18, MABINI, ALICIA, ISABELA, 6630",NO,,FEMALE,MARRIED,,,RETIRED,"SENIOR CITIZEN, PWD",E0E80FA92DA0,QR-R-495BF00384
CARLOS,,MENDOZA,R-202503-0148,"MAY. 15, 2017","HOUSE #456 STREET 18, MABINI, ALICIA, ISABELA, 6630",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-D029980B59
CARMEN,,"DEL ROSARIO",R-202503-0149,"APR. 17, 1996","HOUSE #456 STREET 18, MABINI, ALICIA, ISABELA, 6630",NO,,MALE,MARRIED,,,FARMER,,,QR-R-3C7DCB8A2B
ANA,SALAZAR,BAUTISTA,R-202503-0150,"AUG. 1, 1958","HOUSE #456 STREET 18, MABINI, ALICIA, ISABELA, 6630",NO,,MALE,SINGLE,,,UNEMPLOYED,"SENIOR CITIZEN, PWD",,QR-R-FBAE2B1FB6
CARMEN,,TORRES,R-202503-0151,"JUL. 24, 1973","HOUSE #456 STREET 18, MABINI, ALICIA, ISABELA, 6630",NO,,MALE,SEPARATED,,,TEACHER,,CF2AFB90A91D,QR-R-377C157781
ELENA,RAMOS,MIRANDA,R-202503-0152,"MAR. 30, 2009","HOUSE #225 STREET 5, AURORA, ALICIA, ISABELA, 8335",NO,,MALE,SINGLE,,,VENDOR,PWD,,QR-R-AFEF1B8B54
LUIS,,MARQUEZ,R-202503-0153,"APR. 15, 1985","HOUSE #225 STREET 5, AURORA, ALICIA, ISABELA, 8335",NO,,MALE,MARRIED,,,LABORER,,,QR-R-328380D558
ANA,,GONZALES,R-202503-0154,"OCT. 15, 1995","HOUSE #225 STREET 5, AURORA, ALICIA, ISABELA, 8335",NO,,MALE,MARRIED,,,DRIVER,,972FC063D427,QR-R-F8A7D05A7B
ELENA,REYES,VILLANUEVA,R-202503-0155,"MAY. 3, 1972","HOUSE #225 STREET 5, AURORA, ALICIA, ISABELA, 8335",NO,,FEMALE,SEPARATED,,,FACTORY_WORKER,,,QR-R-961CB9E020
JUAN,DIAZ,BAUTISTA,R-202503-0156,"MAR. 3, 2009","HOUSE #225 STREET 5, AURORA, ALICIA, ISABELA, 8335",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-5A24CA664A
RAFAEL,,AQUINO,R-202503-0157,"APR. 26, 1960","HOUSE #225 STREET 5, AURORA, ALICIA, ISABELA, 8335",NO,,MALE,WIDOWED,,,RETIRED,"SENIOR CITIZEN",,QR-R-B3435A9C99
PEDRO,DIAZ,MORALES,R-202503-0158,"JAN. 3, 2010","HOUSE #205 STREET 15, BAGONG SIKAT, ALICIA, ISABELA, 4044",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-09FA9C5FEE
JOSEFINA,MENDOZA,ROBLES,R-202503-0159,"JAN. 1, 1990","HOUSE #205 STREET 15, BAGONG SIKAT, ALICIA, ISABELA, 4044",NO,,FEMALE,MARRIED,,,FARMER,,,QR-R-EE692D5B95
ROSA,TORRES,SANTOS,R-202503-0160,"APR. 29, 1999","HOUSE #205 STREET 15, BAGONG SIKAT, ALICIA, ISABELA, 4044",NO,,FEMALE,MARRIED,,,DRIVER,,56F7F35087B5,QR-R-5888AE25DE
JOSEFINA,PEREZ,VILLANUEVA,R-202503-0161,"JUN. 23, 2009","HOUSE #205 STREET 15, BAGONG SIKAT, ALICIA, ISABELA, 4044",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-31E7EA3A02
PEDRO,"DE LA CRUZ",MARQUEZ,R-202503-0162,"MAY. 19, 1999","HOUSE #205 STREET 15, BAGONG SIKAT, ALICIA, ISABELA, 4044",NO,,MALE,MARRIED,,,FARMER,,,QR-R-3BB07F10B0
ANTONIO,,NAVARRO,R-202503-0163,"DEC. 18, 2001","HOUSE #246 STREET 38, MABINI, ALICIA, ISABELA, 5855",NO,,FEMALE,MARRIED,,,DRIVER,,,QR-R-6883EEDC8C
ANTONIO,,"DELA PEñA",R-202503-0164,"OCT. 18, 2009","HOUSE #246 STREET 38, MABINI, ALICIA, ISABELA, 5855",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-CE6E50CBB5
JUAN,PEREZ,ESPIRITU,R-202503-0165,"FEB. 17, 1993","HOUSE #246 STREET 38, MABINI, ALICIA, ISABELA, 5855",NO,,FEMALE,SINGLE,,,DRIVER,,F5030105FFC5,QR-R-1920C3BED5
MANUEL,DIAZ,SANTIAGO,R-202503-0166,"AUG. 28, 1986","HOUSE #246 STREET 38, MABINI, ALICIA, ISABELA, 5855",NO,,FEMALE,MARRIED,,,PRIVATE_EMPLOYEE,,E78DE315CC33,QR-R-16452B8DA2
MARIA,,REYES,R-202503-0167,"JUL. 14, 1968","HOUSE #246 STREET 38, MABINI, ALICIA, ISABELA, 5855",NO,,FEMALE,MARRIED,,,VENDOR,,,QR-R-6E0F26AB83
ROSA,RAMOS,LOPEZ,R-202503-0168,"DEC. 27, 2011","HOUSE #706 STREET 43, SAN JUAN, ALICIA, ISABELA, 4180",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-0C78CD0688
SOFIA,,GUTIERREZ,R-202503-0169,"JUL. 16, 1972","HOUSE #706 STREET 43, SAN JUAN, ALICIA, ISABELA, 4180",NO,,FEMALE,SEPARATED,,,GOVERNMENT_EMPLOYEE,,,QR-R-C2590A5AD6
FRANCISCO,,MARTINEZ,R-202503-0170,"MAY. 31, 2009","HOUSE #706 STREET 43, SAN JUAN, ALICIA, ISABELA, 4180",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-B103AB0FB8
CARLOS,TORRES,PEREZ,R-202503-0171,"APR. 30, 1974","HOUSE #706 STREET 43, SAN JUAN, ALICIA, ISABELA, 4180",NO,,FEMALE,WIDOWED,,,FACTORY_WORKER,PWD,,QR-R-DCC488A2D9
MARIA,TORRES,BAUTISTA,R-202503-0172,"MAY. 27, 2015","HOUSE #706 STREET 43, SAN JUAN, ALICIA, ISABELA, 4180",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-6F4F6A3A1D
ELENA,CRUZ,RODRIGUEZ,R-202503-0173,"MAY. 27, 1996","HOUSE #936 STREET 15, MAGSAYSAY (POB.), ALICIA, ISABELA, 4458",NO,,FEMALE,SINGLE,,,FARMER,,,QR-R-5097660B72
ROSA,CRUZ,SALAZAR,R-202503-0174,"OCT. 30, 1968","HOUSE #936 STREET 15, MAGSAYSAY (POB.), ALICIA, ISABELA, 4458",NO,,FEMALE,SINGLE,,,LABORER,,,QR-R-E6CCACCC03
RAFAEL,CASTRO,VALDEZ,R-202503-0175,"AUG. 20, 2017","HOUSE #936 STREET 15, MAGSAYSAY (POB.), ALICIA, ISABELA, 4458",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-57BBDAB167
LOURDES,GONZALES,DOMINGO,R-202503-0176,"NOV. 23, 2007","HOUSE #838 STREET 15, AURORA, ALICIA, ISABELA, 4882",NO,,MALE,SINGLE,,,UNEMPLOYED,,,QR-R-D1CE8AA9AD
RAFAEL,,TORRES,R-202503-0177,"JAN. 9, 2011","HOUSE #838 STREET 15, AURORA, ALICIA, ISABELA, 4882",NO,,FEMALE,SINGLE,,,STUDENT,,E6DBF968A11B,QR-R-1CEDB133F5
MANUEL,,DOMINGO,R-202503-0178,"DEC. 18, 1995","HOUSE #838 STREET 15, AURORA, ALICIA, ISABELA, 4882",NO,,MALE,MARRIED,,,TEACHER,,,QR-R-FFFD60B4C4
CARLOS,,RODRIGUEZ,R-202503-0179,"JUN. 25, 2004","HOUSE #838 STREET 15, AURORA, ALICIA, ISABELA, 4882",NO,,MALE,SINGLE,,,LABORER,,05BA794D18B3,QR-R-93A63D7652
CARMEN,,DIAZ,R-202503-0180,"FEB. 16, 2019","HOUSE #846 STREET 5, APANAY, ALICIA, ISABELA, 8509",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-D74E132723
ANTONIO,,PADILLA,R-202503-0181,"MAY. 26, 1992","HOUSE #846 STREET 5, APANAY, ALICIA, ISABELA, 8509",NO,,FEMALE,SINGLE,,,FARMER,,,QR-R-303FEE0F30
LUIS,RODRIGUEZ,"DE GUZMAN",R-202503-0182,"AUG. 10, 2008","HOUSE #846 STREET 5, APANAY, ALICIA, ISABELA, 8509",NO,,FEMALE,SINGLE,,,STUDENT,,8BA42F04A70F,QR-R-C76FF436D8
MIGUEL,SANTOS,ROBLES,R-202503-0183,"JUN. 29, 1997","HOUSE #846 STREET 5, APANAY, ALICIA, ISABELA, 8509",NO,,MALE,SINGLE,,,TEACHER,,,QR-R-3F62F2AE31
ANA,DIAZ,RIVERA,R-202503-0184,"NOV. 7, 1944","HOUSE #834 STREET 42, ANTONINO (POB.), ALICIA, ISABELA, 4246",NO,,MALE,WIDOWED,,,UNEMPLOYED,"SENIOR CITIZEN",,QR-R-EF52B3BF19
JUAN,LOPEZ,FLORES,R-202503-0185,"DEC. 11, 1963","HOUSE #834 STREET 42, ANTONINO (POB.), ALICIA, ISABELA, 4246",NO,,MALE,MARRIED,,,RETIRED,"SENIOR CITIZEN",45686CB923CA,QR-R-56D696FC36
SOFIA,DOMINGO,BAUTISTA,R-202503-0186,"OCT. 14, 2010","HOUSE #834 STREET 42, ANTONINO (POB.), ALICIA, ISABELA, 4246",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-2298F673BF
TERESA,NAVARRO,SANTOS,R-202503-0187,"JUL. 29, 1966","HOUSE #462 STREET 49, ZAMORA, ALICIA, ISABELA, 1321",NO,,FEMALE,SINGLE,,,DRIVER,,,QR-R-E1EDC6D0D6
FRANCISCO,,REYES,R-202503-0188,"JUL. 16, 1965","HOUSE #462 STREET 49, ZAMORA, ALICIA, ISABELA, 1321",NO,,MALE,MARRIED,,,FARMER,,,QR-R-B452937D5E
MARIA,,GARCIA,R-202503-0189,"JUN. 3, 2009","HOUSE #462 STREET 49, ZAMORA, ALICIA, ISABELA, 1321",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-00E742D88C
ANTONIO,,ROMERO,R-202503-0190,"APR. 9, 1995","HOUSE #462 STREET 49, ZAMORA, ALICIA, ISABELA, 1321",NO,,FEMALE,SINGLE,,,FARMER,,60EEB50FA870,QR-R-5F8FCF3CD9
RAFAEL,,PASCUAL,R-202503-0191,"JAN. 27, 1956","HOUSE #462 STREET 49, ZAMORA, ALICIA, ISABELA, 1321",NO,,FEMALE,WIDOWED,,,FARMER,"SENIOR CITIZEN, PWD",,QR-R-0EF5030B79
PEDRO,NAVARRO,VILLANUEVA,R-202503-0192,"FEB. 19, 1995","HOUSE #462 STREET 49, ZAMORA, ALICIA, ISABELA, 1321",NO,,FEMALE,SINGLE,,,VENDOR,,5A6B6AA4BED3,QR-R-3890D61AAE
ANTONIO,DOMINGO,CRUZ,R-202503-0193,"JUN. 21, 2013","HOUSE #213 STREET 42, SANTA CRUZ, ALICIA, ISABELA, 1869",NO,,MALE,SINGLE,,,STUDENT,,EB3034FCDA8D,QR-R-19F24D2E7C
ANTONIO,,CRUZ,R-202503-0194,"MAR. 14, 1996","HOUSE #213 STREET 42, SANTA CRUZ, ALICIA, ISABELA, 1869",NO,,FEMALE,MARRIED,,,VENDOR,,579883C9D874,QR-R-63E7953F4B
LUIS,SANTOS,PEREZ,R-202503-0195,"JUL. 31, 2013","HOUSE #527 STREET 30, BAGONG SIKAT, ALICIA, ISABELA, 5443",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-95C75A4A6C
JUAN,PEREZ,RODRIGUEZ,R-202503-0196,"JAN. 30, 1973","HOUSE #527 STREET 30, BAGONG SIKAT, ALICIA, ISABELA, 5443",NO,,MALE,MARRIED,,,TEACHER,,,QR-R-A78D161DEF
RAFAEL,GONZALES,"DE LA CRUZ",R-202503-0197,"JAN. 10, 1961","HOUSE #527 STREET 30, BAGONG SIKAT, ALICIA, ISABELA, 5443",NO,,FEMALE,MARRIED,,,RETIRED,"SENIOR CITIZEN, PWD",6F54AC6976D1,QR-R-A7F50940EC
PEDRO,LOPEZ,REYES,R-202503-0198,"NOV. 10, 2006","HOUSE #527 STREET 30, BAGONG SIKAT, ALICIA, ISABELA, 5443",NO,,MALE,SINGLE,,,PRIVATE_EMPLOYEE,,,QR-R-625D5146F0
MARIA,DOMINGO,MIRANDA,R-202503-0199,"JUN. 4, 1942","HOUSE #527 STREET 30, BAGONG SIKAT, ALICIA, ISABELA, 5443",NO,,MALE,WIDOWED,,,RETIRED,"SENIOR CITIZEN",,QR-R-68C09140FF
LOURDES,DIAZ,SANTOS,R-202503-0200,"JAN. 14, 1991","HOUSE #527 STREET 30, BAGONG SIKAT, ALICIA, ISABELA, 5443",NO,,FEMALE,SINGLE,,,DRIVER,,23E16CED16C6,QR-R-A9C723CA43
TERESA,LOPEZ,MIRANDA,R-202503-0201,"JAN. 19, 2005","HOUSE #341 STREET 2, LINGLINGAY, ALICIA, ISABELA, 5931",NO,,FEMALE,MARRIED,,,LABORER,,,QR-R-795FC85038
JUAN,"DE LA CRUZ",RAMOS,R-202503-0202,"JUL. 17, 2010","HOUSE #341 STREET 2, LINGLINGAY, ALICIA, ISABELA, 5931",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-E9709D562B
LUIS,GONZALES,RIVERA,R-202503-0203,"OCT. 16, 1961","HOUSE #341 STREET 2, LINGLINGAY, ALICIA, ISABELA, 5931",NO,,MALE,WIDOWED,,,RETIRED,"SENIOR CITIZEN, PWD",C7DA4104B9D3,QR-R-987D9D231C
JUAN,MENDOZA,CRUZ,R-202503-0204,"MAY. 23, 1968","HOUSE #341 STREET 2, LINGLINGAY, ALICIA, ISABELA, 5931",NO,,FEMALE,MARRIED,,,PRIVATE_EMPLOYEE,,,QR-R-ADE7DD3440
LOURDES,AQUINO,CRUZ,R-202503-0205,"FEB. 22, 2011","HOUSE #341 STREET 2, LINGLINGAY, ALICIA, ISABELA, 5931",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-7E25CE1B9A
ELENA,NAVARRO,ROBLES,R-202503-0206,"FEB. 28, 1939","HOUSE #171 STREET 35, MABINI, ALICIA, ISABELA, 2617",NO,,FEMALE,MARRIED,,,FARMER,"SENIOR CITIZEN, PWD",,QR-R-F24197B4F0
ROSA,NAVARRO,AQUINO,R-202503-0207,"JAN. 2, 1980","HOUSE #171 STREET 35, MABINI, ALICIA, ISABELA, 2617",NO,,MALE,MARRIED,,,LABORER,,,QR-R-1F520F113B
ROSA,GARCIA,SANTIAGO,R-202503-0208,"SEP. 19, 1950","HOUSE #171 STREET 35, MABINI, ALICIA, ISABELA, 2617",NO,,MALE,SINGLE,,,BUSINESS_OWNER,"SENIOR CITIZEN",6856B40487A5,QR-R-07805A72F9
PEDRO,,VALDEZ,R-202503-0209,"MAY. 14, 1999","HOUSE #171 STREET 35, MABINI, ALICIA, ISABELA, 2617",NO,,FEMALE,SINGLE,,,TEACHER,,,QR-R-D14FC33728
LUISA,GARCIA,RODRIGUEZ,R-202503-0210,"FEB. 26, 2023","HOUSE #171 STREET 35, MABINI, ALICIA, ISABELA, 2617",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-0DBDCADEA1
MARIA,FLORES,MORALES,R-202503-0211,"JUL. 10, 2009","HOUSE #628 STREET 20, AMISTAD, ALICIA, ISABELA, 9660",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-990884468F
CARLOS,FLORES,GARCIA,R-202503-0212,"JAN. 7, 1989","HOUSE #628 STREET 20, AMISTAD, ALICIA, ISABELA, 9660",NO,,FEMALE,SINGLE,,,DRIVER,,,QR-R-E00A807B6D
MIGUEL,TORRES,DIAZ,R-202503-0213,"DEC. 3, 1972","HOUSE #628 STREET 20, AMISTAD, ALICIA, ISABELA, 9660",NO,,MALE,MARRIED,,,FARMER,,,QR-R-8D1251ACCF
TERESA,CRUZ,TORRES,R-202503-0214,"MAR. 15, 1978","HOUSE #628 STREET 20, AMISTAD, ALICIA, ISABELA, 9660",NO,,FEMALE,MARRIED,,,VENDOR,PWD,,QR-R-D1EE85E6F8
MARIA,GONZALES,PADILLA,R-202503-0215,"AUG. 10, 2010","HOUSE #628 STREET 20, AMISTAD, ALICIA, ISABELA, 9660",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-DAA1B55332
MARIA,DIAZ,RAMOS,R-202503-0216,"MAR. 10, 2018","HOUSE #307 STREET 15, SAN PEDRO, ALICIA, ISABELA, 4668",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-4E80F43BFF
MARIA,,"DE LA CRUZ",R-202503-0217,"APR. 11, 2020","HOUSE #307 STREET 15, SAN PEDRO, ALICIA, ISABELA, 4668",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-90BA26DA30
SOFIA,,PASCUAL,R-202503-0218,"SEP. 28, 1958","HOUSE #307 STREET 15, SAN PEDRO, ALICIA, ISABELA, 4668",NO,,MALE,MARRIED,,,FARMER,"SENIOR CITIZEN, PWD",,QR-R-9908469B78
JOSE,,ROMERO,R-202503-0219,"MAR. 5, 2019","HOUSE #307 STREET 15, SAN PEDRO, ALICIA, ISABELA, 4668",NO,,MALE,SINGLE,,,STUDENT,PWD,,QR-R-E535F682D6
CARMEN,RIVERA,PADILLA,R-202503-0220,"OCT. 28, 1937","HOUSE #415 STREET 47, VICTORIA, ALICIA, ISABELA, 5647",NO,,MALE,MARRIED,,,FARMER,"SENIOR CITIZEN",,QR-R-046AEB11B4
MIGUEL,RIVERA,VILLEGAS,R-202503-0221,"AUG. 29, 1980","HOUSE #415 STREET 47, VICTORIA, ALICIA, ISABELA, 5647",NO,,FEMALE,SEPARATED,,,DRIVER,,,QR-R-85927720F0
LUISA,,CASTRO,R-202503-0222,"MAR. 9, 2011","HOUSE #106 STREET 9, M.H. DEL PILAR, ALICIA, ISABELA, 7607",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-E53A66CB65
FRANCISCO,,"DEL ROSARIO",R-202503-0223,"JAN. 16, 2003","HOUSE #106 STREET 9, M.H. DEL PILAR, ALICIA, ISABELA, 7607",NO,,FEMALE,SINGLE,,,STUDENT,,4717A70F31E5,QR-R-DC1C9EEA69
RAFAEL,,FLORES,R-202503-0224,"FEB. 5, 1997","HOUSE #389 STREET 33, BANTUG-PETINES, ALICIA, ISABELA, 6113",NO,,MALE,SINGLE,,,VENDOR,,,QR-R-F5792E2B5C
LUISA,,"DELA PEñA",R-202503-0225,"AUG. 29, 1970","HOUSE #389 STREET 33, BANTUG-PETINES, ALICIA, ISABELA, 6113",NO,,MALE,MARRIED,,,LABORER,,DA91EF9459FE,QR-R-8206244189
TERESA,RIVERA,MIRANDA,R-202503-0226,"OCT. 10, 2004","HOUSE #731 STREET 32, SAN ANTONIO (POB.), ALICIA, ISABELA, 7066",NO,,MALE,SINGLE,,,PRIVATE_EMPLOYEE,,,QR-R-35D999F6A4
RAFAEL,FLORES,VALDEZ,R-202503-0227,"AUG. 4, 1983","HOUSE #731 STREET 32, SAN ANTONIO (POB.), ALICIA, ISABELA, 7066",NO,,MALE,SEPARATED,,,DRIVER,,,QR-R-06A2414F42
RAFAEL,,REYES,R-202503-0228,"FEB. 4, 2023","HOUSE #731 STREET 32, SAN ANTONIO (POB.), ALICIA, ISABELA, 7066",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-C91F5DA02C
FRANCISCO,REYES,RAMOS,R-202503-0229,"JUN. 27, 2011","HOUSE #478 STREET 26, SAN PABLO, ALICIA, ISABELA, 3388",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-1D07DA21B4
